file_name,speaker_id,keyword,prediction,num_frames,delay_ms,distance
179a61b7_nohash_1.wav,179a61b7,down,no,41,179.5194149,8.091516495
179a61b7_nohash_2.wav,179a61b7,down,down,21,143.0675983,7.480332851
179a61b7_nohash_3.wav,179a61b7,down,down,24,148.5264301,7.372569561
179a61b7_nohash_4.wav,179a61b7,down,down,30,159.3933105,7.084791183
179a61b7_nohash_1.wav,179a61b7,go,no,19,139.8527622,8.038189888
179a61b7_nohash_2.wav,179a61b7,go,no,17,135.5526447,8.004655838
179a61b7_nohash_3.wav,179a61b7,go,no,16,134.0329647,9.172282219
179a61b7_nohash_4.wav,179a61b7,go,no,23,146.6386318,6.457958698
179a61b7_nohash_1.wav,179a61b7,left,left,25,150.3095627,6.955325127
179a61b7_nohash_2.wav,179a61b7,left,no,12,126.6114712,8.011948586
179a61b7_nohash_3.wav,179a61b7,left,left,29,157.4270725,5.857682228
179a61b7_nohash_4.wav,179a61b7,left,left,23,147.0654011,6.678987026
179a61b7_nohash_1.wav,179a61b7,no,no,19,139.4383907,4.561315536
179a61b7_nohash_2.wav,179a61b7,no,no,21,142.7431107,6.386368752
179a61b7_nohash_3.wav,179a61b7,no,no,22,144.7739601,6.782059669
179a61b7_nohash_4.wav,179a61b7,no,no,28,155.3869247,6.039549351
179a61b7_nohash_1.wav,179a61b7,right,right,14,130.5730343,8.342484474
179a61b7_nohash_2.wav,179a61b7,right,go,47,189.9650097,10.04004383
179a61b7_nohash_3.wav,179a61b7,right,left,24,148.0798721,7.068497181
179a61b7_nohash_4.wav,179a61b7,right,right,17,136.1627579,7.635085106
179a61b7_nohash_1.wav,179a61b7,stop,go,16,134.254694,8.880520821
179a61b7_nohash_2.wav,179a61b7,stop,stop,60,213.9875889,8.402146339
179a61b7_nohash_3.wav,179a61b7,stop,go,17,135.9062195,8.431625366
179a61b7_nohash_4.wav,179a61b7,stop,down,12,126.8162727,9.303359985
179a61b7_nohash_1.wav,179a61b7,up,up,12,126.398325,9.593417168
179a61b7_nohash_2.wav,179a61b7,up,down,12,126.7163754,8.798352242
179a61b7_nohash_3.wav,179a61b7,up,up,27,153.3386707,9.933645248
179a61b7_nohash_4.wav,179a61b7,up,down,40,177.5925159,10.19404888
179a61b7_nohash_1.wav,179a61b7,yes,yes,13,128.0343533,8.076065063
179a61b7_nohash_2.wav,179a61b7,yes,yes,19,139.475584,8.521579742
179a61b7_nohash_3.wav,179a61b7,yes,yes,12,126.6803741,8.473641396
179a61b7_nohash_4.wav,179a61b7,yes,yes,19,139.6760941,8.776838303
1b4c9b89_nohash_1.wav,1b4c9b89,down,down,19,132.2517395,3.333783865
1b4c9b89_nohash_2.wav,1b4c9b89,down,down,17,129.4677258,3.34667325
1b4c9b89_nohash_3.wav,1b4c9b89,down,down,15,126.3716221,4.19746685
1b4c9b89_nohash_4.wav,1b4c9b89,down,down,16,128.0002594,3.305278063
1b4c9b89_nohash_1.wav,1b4c9b89,go,go,19,132.6942444,4.189464569
1b4c9b89_nohash_2.wav,1b4c9b89,go,go,19,132.0109367,6.117603779
1b4c9b89_nohash_3.wav,1b4c9b89,go,go,20,133.5792542,5.342680931
1b4c9b89_nohash_4.wav,1b4c9b89,go,no,30,147.8302479,5.751784325
1b4c9b89_nohash_1.wav,1b4c9b89,left,left,17,129.0624142,3.815740108
1b4c9b89_nohash_2.wav,1b4c9b89,left,left,19,132.298708,4.105770588
1b4c9b89_nohash_3.wav,1b4c9b89,left,left,18,130.7449341,3.392508984
1b4c9b89_nohash_4.wav,1b4c9b89,left,left,16,128.1642914,3.975893736
1b4c9b89_nohash_1.wav,1b4c9b89,no,no,25,140.4294968,5.203896523
1b4c9b89_nohash_2.wav,1b4c9b89,no,no,22,136.1279488,4.758387089
1b4c9b89_nohash_3.wav,1b4c9b89,no,no,23,137.3107433,5.762673855
1b4c9b89_nohash_4.wav,1b4c9b89,no,no,26,142.2584057,5.899477005
1b4c9b89_nohash_1.wav,1b4c9b89,right,right,25,140.7001019,4.791061878
1b4c9b89_nohash_2.wav,1b4c9b89,right,right,22,136.4984512,5.550442696
1b4c9b89_nohash_3.wav,1b4c9b89,right,right,18,131.2885284,6.424039364
1b4c9b89_nohash_4.wav,1b4c9b89,right,right,19,132.4210167,4.711204529
1b4c9b89_nohash_1.wav,1b4c9b89,stop,stop,26,142.1663761,4.908823013
1b4c9b89_nohash_2.wav,1b4c9b89,stop,stop,26,142.2028542,6.532531261
1b4c9b89_nohash_3.wav,1b4c9b89,stop,stop,27,143.645525,6.181654453
1b4c9b89_nohash_4.wav,1b4c9b89,stop,stop,25,140.6471729,6.014582634
1b4c9b89_nohash_1.wav,1b4c9b89,up,up,13,123.2924461,3.383622408
1b4c9b89_nohash_2.wav,1b4c9b89,up,up,13,123.3003139,3.62551403
1b4c9b89_nohash_3.wav,1b4c9b89,up,up,22,136.4059448,7.157315731
1b4c9b89_nohash_4.wav,1b4c9b89,up,up,12,122.313261,5.2747159
1b4c9b89_nohash_1.wav,1b4c9b89,yes,yes,33,152.0380974,8.6994133
1b4c9b89_nohash_2.wav,1b4c9b89,yes,yes,43,166.7795181,13.41865921
1b4c9b89_nohash_3.wav,1b4c9b89,yes,left,34,153.5665989,7.141492367
